ctry_code,ctry_name,ctry_name_long,region_code,subregion_name,eff_date,end_date,timestamp
CUR,CuraØao,CuraØao,AM,NULL,1989-07-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000379E
CXG,Christmas Is. Pacific,"Christmas Island, Pacific Ocean",WP,NULL,1979-03-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000379F
CXR,Christmas Is. Indian,"Christmas Island, Indian Ocean",SE,NULL,1979-03-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037A0
CYM,Cayman Islands,Cayman Islands,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037A1
CYP,Cyprus,Cyprus,EM,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037A2
CZE,Czech Republic,Czech Republic,EU,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037A3
DDR,German Dem. Republic,German Democratic Republic,EU,NULL,1990-10-03 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037A4
DEU,Germany,Germany,EU,NULL,1990-10-03 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037A5
DJI,Djibouti,Djibouti,EM,NULL,1977-09-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037A6
DMA,Dominica,Dominica,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037A7
DNK,Denmark,Denmark,EU,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037A8
DOM,Dominican Republic,Dominican Republic,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037A9
DZA,Algeria,Algeria,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037AA
ECA,Eastern Caribbean,Eastern Caribbean,AM,NULL,1986-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037AB
ECU,Ecuador,Ecuador,AM,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037AC
EEC,Euro Economic Commun,European Economic Community,EU,NULL,1990-03-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037AD
EEU,Eastern Europe,Eastern Europe,EU,NULL,2000-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037AE
EGY,Egypt,Egypt,EM,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037AF
ERI,Eritrea,Eritrea,AF,NULL,1993-07-24 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037B0
ESP,Spain,Spain,EU,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037B1
