ctry_code,ctry_name,ctry_name_long,region_code,subregion_name,eff_date,end_date,timestamp
SLB,Solomon Islands,Solomon Islands,WP,PIC,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038B9
SLE,Sierra Leone,Sierra Leone,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000383C
SLV,El Salvador,El Salvador,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000383D
SMR,San Marino,San Marino,EU,NULL,1978-08-24 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000383E
SOM,Somalia,Somalia,EM,NULL,1988-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000383F
SPM,St Pierre Miquelon,St Pierre and Miquelon,AM,NULL,1979-03-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003840
SRB,Republic of Serbia,Republic of Serbia,EU,NULL,2006-06-03 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003841
SSR,USSR,Union of Soviet Socialist Republics,EU,NULL,1992-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003842
STP,Sao Tome & Principe,Sao Tome and Principe,AF,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003843
SUR,Suriname,Suriname,AM,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003844
SVK,Slovak Republic,Slovak Republic,EU,NULL,1993-02-04 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003845
SVN,Slovenia,Slovenia,EU,NULL,1992-05-07 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003846
SWE,Sweden,Sweden,EU,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003847
SWZ,Swaziland,Swaziland,AF,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003848
SYC,Seychelles,Seychelles,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003849
SYR,Syrian Arab Republic,Syrian Arab Republic,EM,NULL,1988-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000384A
TCA,Turks and Caicos Is.,Turks and Caicos Islands,AM,NULL,1977-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000384B
TCD,Chad,Chad,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000384C
TGO,Togo,Togo,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000384D
THA,Thailand,Thailand,SE,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000384E
TJK,Tajikistan,Tajikistan,EU,NULL,1992-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000384F
TKL,Tokelau,Tokelau,WP,PIC,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038BA
TKM,Turkmenistan,Turkmenistan,EU,NULL,1992-07-02 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003851
TLS,Democratic Republic of Timor-L,Democratic Republic of Timor-Leste,SE,NULL,2002-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003852
TME,Turkmenistan,Turkmenistan,EU,NULL,1992-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003853
TMP,East Timor,East Timor,SE,NULL,2000-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003854
TON,Tonga,Tonga,WP,PIC,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038BB
TRC,Tristan da Cunha,Tristan da Cunha,AF,NULL,1979-03-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003856
TTO,Trinidad & Tobago,Trinidad and Tobago,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003857
TUN,Tunisia,Tunisia,EM,NULL,1988-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003858
TUR,Turkey,Turkey,EU,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003859
TUV,Tuvalu,Tuvalu,WP,PIC,1993-05-06 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038BC
TWN,"Taiwan, China","Taiwan, China",WP,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000385B
TZA,United Rep. Tanzania,United Republic of Tanzania,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000385C
UGA,Uganda,Uganda,AF,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000385D
UKR,Ukraine,Ukraine,EU,NULL,1992-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000385E
UPV,Burkina Faso,Upper Volta,AF,NULL,1984-09-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000385F
URY,Uruguay,Uruguay,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003860
USA,USA,United States of America,AM,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003861
UZB,Uzbekistan,Uzbekistan,EU,NULL,1992-05-22 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003862
VAT,Vatican,Vatican,EU,NULL,1978-08-24 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003863
VCT,Saint Vincent,Saint Vincent and the Grenadines,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003864
VEN,Venezuela,Venezuela,AM,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003865
VGB,British Virgin Is.,British Virgin Islands,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003866
VIR,US Virgin Islands,United States Virgin Islands,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003867
VNM,Viet Nam,Viet Nam,WP,MEKONG,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038A6
VUT,Vanuatu,Vanuatu,WP,PIC,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038BD
WAF,Wallis and Futuna Is,Wallis and Futuna Islands,WP,PIC,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038BE
WBA,West Bank,West Bank of the Jordan,EM,NULL,1985-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000386B
WEU,Western Europe,Western Europe,EU,NULL,2000-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000386C
WIN,West Indies,West Indies,AM,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000386D
WSM,Samoa,Samoa,WP,PIC,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038BF
YEM,Yemen,Yemen,EM,NULL,1990-05-23 00:00:00.000,9999-12-31 00:00:00.000,0x000000000000386F
ZAF,South Africa,South Africa,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003870
